State,Year,County,Party,Personal income (thousands of dollars) 2007,Personal income (thousands of dollars) 2006,Personal income (thousands of dollars) 2005, Net earnings by place of residence 2007, Net earnings by place of residence 2006, Net earnings by place of residence 2005, Personal current transfer receipts 2007, Personal current transfer receipts 2006, Personal current transfer receipts 2005,  Income maintenance benefits 1/2007,  Income maintenance benefits 1/2006,  Income maintenance benefits 1/2005,  Unemployment insurance compensation 2007,  Unemployment insurance compensation 2006,  Unemployment insurance compensation 2005,  Retirement and other 2007,  Retirement and other 2006,  Retirement and other 2005," Dividends, interest, and rent 2/2007"," Dividends, interest, and rent 2/2006"," Dividends, interest, and rent 2/2005", Population (persons) 3/2007, Population (persons) 3/2006, Population (persons) 3/2005, Per capita personal income 4/2007, Per capita personal income 4/2006, Per capita personal income 4/2005, Per capita net earnings 4/2007, Per capita net earnings 4/2006, Per capita net earnings 4/2005, Per capita personal current transfer receipts 4/2007, Per capita personal current transfer receipts 4/2006, Per capita personal current transfer receipts 4/2005,  Per capita income maintenance benefits 4/2007,  Per capita income maintenance benefits 4/2006,  Per capita income maintenance benefits 4/2005,  Per capita unemployment insurance compensation 4/2007,  Per capita unemployment insurance compensation 4/2006,  Per capita unemployment insurance compensation 4/2005,  Per capita retirement and other 4/2007,  Per capita retirement and other 4/2006,  Per capita retirement and other 4/2005," Per capita dividends, interest, and rent 4/2007"," Per capita dividends, interest, and rent 4/2006"," Per capita dividends, interest, and rent 4/2005", Earnings by place of work 2007, Earnings by place of work 2006, Earnings by place of work 2005,  Wages and salaries 2007,  Wages and salaries 2006,  Wages and salaries 2005,  Supplements to wages and salaries 2007,  Supplements to wages and salaries 2006,  Supplements to wages and salaries 2005,   Employer contributions for employee pension and insurance funds 5/2007,   Employer contributions for employee pension and insurance funds 5/2006,   Employer contributions for employee pension and insurance funds 5/2005,   Employer contributions for government social insurance 2007,   Employer contributions for government social insurance 2006,   Employer contributions for government social insurance 2005,  Proprietors' income 2007,  Proprietors' income 2006,  Proprietors' income 2005,   Farm proprietors' income 2007,   Farm proprietors' income 2006,   Farm proprietors' income 2005,   Nonfarm proprietors' income 2007,   Nonfarm proprietors' income 2006,   Nonfarm proprietors' income 2005
Alabama,2008,Geneva,R,700100,658773,654252,410860,399972,405632,192971,178936,167406,19113,16920,16668,1108,1142,1115,172750,160874,149623,96269,79865,81214,26322,26271,25988,26598,25076,25175,15609,15225,15608,7331,6811,6442,726,644,641,42,43,43,6563,6124,5757,3657,3040,3125,271549,262812,263564,170192,161387,148176,47290,45193,44342,34622,33332,33214,12668,11861,11128,54067,56232,71046,27046,25687,42875,27021,30545,28171
Alabama,2008,Greene,D,244792,237395,227431,123732,126795,124370,75465,69781,66536,14920,12967,13622,580,492,568,59965,56322,52346,45595,40819,36525,9385,9361,9675,26083,25360,23507,13184,13545,12855,8041,7454,6877,1590,1385,1408,62,53,59,6389,6017,5410,4858,4361,3775,111539,112680,108229,72992,69445,65498,22173,22639,21509,16859,17629,16645,5314,5010,4864,16374,20596,21222,10464,13962,15147,5910,6634,6075
Alabama,2008,Hale,D,431296,418097,388647,257293,261720,239294,118308,108523,103354,20570,17610,17191,1050,979,943,96688,89934,85220,55695,47854,45999,16418,16427,16622,26270,25452,23381,15671,15932,14396,7206,6606,6218,1253,1072,1034,64,60,57,5889,5475,5127,3392,2913,2767,168993,179505,168752,110544,108503,102869,29464,28739,29021,21010,20672,21350,8454,8067,7671,28985,42263,36862,16701,28232,23487,12284,14031,13375
Alabama,2008,Henry,R,488244,452053,437619,297700,281273,280602,117498,109502,99830,13474,11531,11847,1136,786,803,102888,97185,87180,73046,61278,57187,17108,16953,16752,28539,26665,26123,17401,16591,16750,6868,6459,5959,788,680,707,66,46,48,6014,5733,5204,4270,3615,3414,211705,225858,219765,142996,155381,144396,35489,37746,36550,24646,26000,25319,10843,11746,11231,33220,32731,38819,3645,7178,16347,29575,25553,22472
Alabama,2008,Houston,R,3383252,3190277,2954106,2111941,2054261,1903198,614287,563707,515707,70708,62826,61958,4410,4168,4367,539169,496713,449382,657024,572309,535201,97727,95846,93903,34619,33285,31459,21611,21433,20268,6286,5881,5492,724,655,660,45,43,47,5517,5182,4786,6723,5971,5700,2453760,2381499,2265847,1808563,1729940,1648284,418635,407033,401581,288587,281410,280521,130048,125623,121060,226562,244526,215982,13950,14805,20070,212612,229721,195912
Alabama,2008,Jackson,R,1520239,1455061,1408185,921989,922094,909114,353073,323902,297261,33250,28633,27637,3670,3310,3536,316153,291959,266088,245177,209065,201810,53333,53483,53332,28505,27206,26404,17287,17241,17046,6620,6056,5574,623,535,518,69,62,66,5928,5459,4989,4597,3909,3784,827167,833854,808617,577808,567303,534122,150795,146388,144872,106129,102275,102843,44666,44113,42029,98564,120163,129623,13690,30627,51140,84874,89536,78483
Alabama,2008,Jefferson,D,26924042,26215272,24666762,16965599,16529436,15745256,4011931,3784677,3537900,473293,416551,402901,35972,34262,36317,3502666,3333864,3098682,5946512,5901159,5383606,655163,655893,654919,41095,39969,37664,25895,25201,24042,6124,5770,5402,722,635,615,55,52,55,5346,5083,4731,9076,8997,8220,23851878,23300216,22325609,17636566,17013169,16343089,3707504,3660237,3620047,2471496,2452956,2439326,1236008,1207281,1180721,2507808,2626810,2362473,-5409,-4365,-1068,2513217,2631175,2363541
Alabama,2008,Lamar,R,364548,342476,336204,192753,193913,195323,118845,106950,99635,10786,9386,8909,1023,815,854,107036,96749,89872,52950,41613,41246,14901,14816,15009,24465,23115,22400,12936,13088,13014,7976,7219,6638,724,634,594,69,55,57,7183,6530,5988,3553,2809,2748,171309,176244,182728,124129,125487,127436,31749,32177,34097,22531,22845,24194,9218,9332,9903,15431,18580,21195,5307,5057,5536,10124,13523,15659
Alabama,2008,Lauderdale,R,2696252,2547300,2416986,1574975,1552595,1463463,585068,550420,507618,48926,41681,41522,6302,5246,6113,529840,503493,459983,536209,444285,445905,91107,90294,89358,29594,28211,27048,17287,17195,16378,6422,6096,5681,537,462,465,69,58,68,5816,5576,5148,5885,4920,4990,1395548,1364662,1289469,968323,909736,854440,236109,227674,223797,164657,159676,158275,71452,67998,65522,191116,227252,211232,21819,32403,29686,169297,194849,181546
Alabama,2008,Lawrence,R,913804,848530,827223,604428,572051,570020,214679,200839,183511,21436,19302,19252,2189,2176,2479,191054,179361,161780,94697,75640,73692,34293,34028,34435,26647,24936,24023,17625,16811,16554,6260,5902,5329,625,567,559,64,64,72,5571,5271,4698,2761,2223,2140,368617,335901,356652,250299,237616,230053,59292,56618,57221,41914,40178,40789,17378,16440,16432,59026,41667,69378,21256,677,30795,37770,40990,38583
