,State,County,President,Party
365,Connecticut,Ellington,Kamala Harris,D
366,Connecticut,Enfield,Kamala Harris,D
367,Connecticut,Essex,Kamala Harris,D
368,Connecticut,Fairfield,Kamala Harris,D
369,Connecticut,Farmington,Kamala Harris,D
370,Connecticut,Franklin,Donald Trump,R
371,Connecticut,Glastonbury,Kamala Harris,D
372,Connecticut,Goshen,Donald Trump,R
373,Connecticut,Granby,Kamala Harris,D
374,Connecticut,Greenwich,Kamala Harris,D
375,Connecticut,Griswold,Donald Trump,R
376,Connecticut,Groton,Kamala Harris,D
377,Connecticut,Guilford,Kamala Harris,D
378,Connecticut,Haddam,Donald Trump,R
379,Connecticut,Hamden,Kamala Harris,D
380,Connecticut,Hampton,Donald Trump,R
381,Connecticut,Hartford,Kamala Harris,D
382,Connecticut,Hartland,Donald Trump,R
383,Connecticut,Harwinton,Donald Trump,R
384,Connecticut,Hebron,Kamala Harris,D
385,Connecticut,Kent,Kamala Harris,D
386,Connecticut,Killingly,Donald Trump,R
387,Connecticut,Killingworth,Kamala Harris,D
388,Connecticut,Lebanon,Donald Trump,R
389,Connecticut,Ledyard,Kamala Harris,D
390,Connecticut,Lisbon,Donald Trump,R
391,Connecticut,Litchfield,Kamala Harris,D
392,Connecticut,Lyme,Kamala Harris,D
393,Connecticut,Madison,Kamala Harris,D
394,Connecticut,Manchester,Kamala Harris,D
395,Connecticut,Mansfield,Kamala Harris,D
396,Connecticut,Marlborough,Kamala Harris,D
397,Connecticut,Meriden,Kamala Harris,D
398,Connecticut,Middlebury,Donald Trump,R
399,Connecticut,Middlefield,Kamala Harris,D
400,Connecticut,Middletown,Kamala Harris,D
401,Connecticut,Milford,Kamala Harris,D
402,Connecticut,Monroe,Donald Trump,R
403,Connecticut,Montville,Donald Trump,R
404,Connecticut,Morris,Donald Trump,R
405,Connecticut,Naugatuck,Donald Trump,R
406,Connecticut,New Britain,Kamala Harris,D
407,Connecticut,New Canaan,Kamala Harris,D
408,Connecticut,New Fairfield,Donald Trump,R
409,Connecticut,New Hartford,Donald Trump,R
410,Connecticut,New Haven,Kamala Harris,D
411,Connecticut,Newington,Kamala Harris,D
412,Connecticut,New London,Kamala Harris,D
413,Connecticut,New Milford,Donald Trump,R
414,Connecticut,Newtown,Kamala Harris,D
415,Connecticut,Norfolk,Kamala Harris,D
416,Connecticut,North Branford,Donald Trump,R
417,Connecticut,North Canaan,Donald Trump,R
418,Connecticut,North Haven,Donald Trump,R
419,Connecticut,North Stonington,Donald Trump,R
420,Connecticut,Norwalk,Kamala Harris,D
421,Connecticut,Norwich,Kamala Harris,D
422,Connecticut,Old Lyme,Kamala Harris,D
423,Connecticut,Old Saybrook,Kamala Harris,D
424,Connecticut,Orange,Kamala Harris,D
425,Connecticut,Oxford,Donald Trump,R
426,Connecticut,Plainfield,Donald Trump,R
427,Connecticut,Plainville,Donald Trump,R
428,Connecticut,Plymouth,Donald Trump,R
429,Connecticut,Pomfret,Kamala Harris,D
430,Connecticut,Portland,Kamala Harris,D
431,Connecticut,Preston,Donald Trump,R
432,Connecticut,Prospect,Donald Trump,R
433,Connecticut,Putnam,Donald Trump,R
434,Connecticut,Redding,Kamala Harris,D
435,Connecticut,Ridgefield,Kamala Harris,D
436,Connecticut,Rocky Hill,Kamala Harris,D
437,Connecticut,Roxbury,Kamala Harris,D
438,Connecticut,Salem,Donald Trump,R
439,Connecticut,Salisbury,Kamala Harris,D
440,Connecticut,Scotland,Donald Trump,R
441,Connecticut,Seymour,Donald Trump,R
442,Connecticut,Sharon,Kamala Harris,D
443,Connecticut,Shelton,Donald Trump,R
444,Connecticut,Sherman,Kamala Harris,D
445,Connecticut,Simsbury,Kamala Harris,D
446,Connecticut,Somers,Donald Trump,R
447,Connecticut,Southbury,Kamala Harris,D
448,Connecticut,Southington,Donald Trump,R
449,Connecticut,South Windsor,Kamala Harris,D
450,Connecticut,Sprague,Donald Trump,R
451,Connecticut,Stafford,Donald Trump,R
452,Connecticut,Stamford,Kamala Harris,D
453,Connecticut,Sterling,Donald Trump,R
454,Connecticut,Stonington,Kamala Harris,D
455,Connecticut,Stratford,Kamala Harris,D
456,Connecticut,Suffield,Donald Trump,R
457,Connecticut,Thomaston,Donald Trump,R
458,Connecticut,Thompson,Donald Trump,R
459,Connecticut,Tolland,Kamala Harris,D
460,Connecticut,Torrington,Donald Trump,R
461,Connecticut,Trumbull,Kamala Harris,D
462,Connecticut,Union,Donald Trump,R
463,Connecticut,Vernon,Kamala Harris,D
464,Connecticut,Voluntown,Donald Trump,R
465,Connecticut,Wallingford,Kamala Harris,D
466,Connecticut,Warren,Kamala Harris,D
467,Connecticut,Washington,Kamala Harris,D
468,Connecticut,Waterbury,Kamala Harris,D
469,Connecticut,Waterford,Kamala Harris,D
470,Connecticut,Watertown,Donald Trump,R
471,Connecticut,Westbrook,Kamala Harris,D
472,Connecticut,West Hartford,Kamala Harris,D
473,Connecticut,West Haven,Kamala Harris,D
474,Connecticut,Weston,Kamala Harris,D
475,Connecticut,Westport,Kamala Harris,D
476,Connecticut,Wethersfield,Kamala Harris,D
477,Connecticut,Willington,Donald Trump,R
478,Connecticut,Wilton,Kamala Harris,D
479,Connecticut,Winchester,Donald Trump,R
480,Connecticut,Windham,Kamala Harris,D
481,Connecticut,Windsor,Kamala Harris,D
482,Connecticut,Windsor Locks,Kamala Harris,D
483,Connecticut,Wolcott,Donald Trump,R
484,Connecticut,Woodbridge,Kamala Harris,D
485,Connecticut,Woodbury,Donald Trump,R
486,Connecticut,Woodstock,Donald Trump,R
487,Delaware,Kent,Kamala Harris,D
488,Delaware,New Castle,Kamala Harris,D
489,Delaware,Sussex,Donald Trump,R
490,Washington D.C.,Ward 1,Kamala Harris,D
491,Washington D.C.,Ward 2,Kamala Harris,D
492,Washington D.C.,Ward 3,Kamala Harris,D
493,Washington D.C.,Ward 4,Kamala Harris,D
494,Washington D.C.,Ward 5,Kamala Harris,D
495,Washington D.C.,Ward 6,Kamala Harris,D
496,Washington D.C.,Ward 7,Kamala Harris,D
497,Washington D.C.,Ward 8,Kamala Harris,D
498,Florida,Alachua,Kamala Harris,D
499,Florida,Baker,Donald Trump,R
500,Florida,Bay,Donald Trump,R
501,Florida,Bradford,Donald Trump,R
502,Florida,Brevard,Donald Trump,R
503,Florida,Broward,Kamala Harris,D
504,Florida,Calhoun,Donald Trump,R
505,Florida,Charlotte,Donald Trump,R
506,Florida,Citrus,Donald Trump,R
507,Florida,Clay,Donald Trump,R
508,Florida,Collier,Donald Trump,R
509,Florida,Columbia,Donald Trump,R
510,Florida,Miami-Dade,Donald Trump,R
511,Florida,DeSoto,Donald Trump,R
512,Florida,Dixie,Donald Trump,R
513,Florida,Duval,Donald Trump,R
514,Florida,Escambia,Donald Trump,R
515,Florida,Flagler,Donald Trump,R
516,Florida,Franklin,Donald Trump,R
517,Florida,Gadsden,Kamala Harris,D
518,Florida,Gilchrist,Donald Trump,R
519,Florida,Glades,Donald Trump,R
520,Florida,Gulf,Donald Trump,R
521,Florida,Hamilton,Donald Trump,R
522,Florida,Hardee,Donald Trump,R
523,Florida,Hendry,Donald Trump,R
524,Florida,Hernando,Donald Trump,R
525,Florida,Highlands,Donald Trump,R
526,Florida,Hillsborough,Donald Trump,R
527,Florida,Holmes,Donald Trump,R
528,Florida,Indian River,Donald Trump,R
529,Florida,Jackson,Donald Trump,R
530,Florida,Jefferson,Donald Trump,R
531,Florida,Lafayette,Donald Trump,R
532,Florida,Lake,Donald Trump,R
533,Florida,Lee,Donald Trump,R
534,Florida,Leon,Kamala Harris,D
535,Florida,Levy,Donald Trump,R
536,Florida,Liberty,Donald Trump,R
537,Florida,Madison,Donald Trump,R
538,Florida,Manatee,Donald Trump,R
539,Florida,Marion,Donald Trump,R
540,Florida,Martin,Donald Trump,R
541,Florida,Monroe,Donald Trump,R
542,Florida,Nassau,Donald Trump,R
543,Florida,Okaloosa,Donald Trump,R
544,Florida,Okeechobee,Donald Trump,R
545,Florida,Orange,Kamala Harris,D
546,Florida,Osceola,Donald Trump,R
547,Florida,Palm Beach,Kamala Harris,D
548,Florida,Pasco,Donald Trump,R
549,Florida,Pinellas,Donald Trump,R
550,Florida,Polk,Donald Trump,R
551,Florida,Putnam,Donald Trump,R
552,Florida,St. Johns,Donald Trump,R
553,Florida,St. Lucie,Donald Trump,R
554,Florida,Santa Rosa,Donald Trump,R
555,Florida,Sarasota,Donald Trump,R
556,Florida,Seminole,Donald Trump,R
557,Florida,Sumter,Donald Trump,R
558,Florida,Suwannee,Donald Trump,R
559,Florida,Taylor,Donald Trump,R
560,Florida,Union,Donald Trump,R
561,Florida,Volusia,Donald Trump,R
562,Florida,Wakulla,Donald Trump,R
563,Florida,Walton,Donald Trump,R
564,Florida,Washington,Donald Trump,R
565,Georgia,Appling,Donald Trump,R
566,Georgia,Atkinson,Donald Trump,R
567,Georgia,Bacon,Donald Trump,R
568,Georgia,Baker,Donald Trump,R
569,Georgia,Baldwin,Donald Trump,R
570,Georgia,Banks,Donald Trump,R
