GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",7988,11319,8761,10251,13768,12072,11612,7759,10174,19969,26071,27068,17946,18618,7547,17684,17445,13737,14359,24504,31485,29126,33984,23499,26914,13258,-2344,7011,11604,13122,29918,33240,46172,16619,35832,58497,45550,22289,37025,26907,-4802,12112,53385,34482,13396,49524,43733,38922,27273,29243,41630,36457,27043,93124,83558
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",115146,127525,138326,159292,178501,201836,225216,255032,288860,336404,347728,349906,356236,347323,396677,476177,523333,552881,619048,641363,686711,722819,841465,909294,1063846,1099542,1187856,1245531,1324065,1350866,1334085,1769351,1790065,1944352,1997489,2107646,2028309,2348530,2066116,1999794,2206568,2247962,2404087,2086191,1832062,2147937,2056176,2298656,2308088,2398466,2646952,2880012,3642545,3831982,4081850
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",540715,585596,623630,673545,744156,817493,899700,1000642,1102768,1216193,1346495,1446137,1567977,1639278,1702435,1806083,1924165,2032513,2112377,2242014,2432904,2572769,2701274,2886135,3029119,3161401,3272749,3454702,3631054,3801722,3964356,4132656,4236711,4349267,4503710,4740082,4905771,5084045,5381169,5615600,5681011,5853318,6162748,6210390,6163707,6381264,6663773,6743576,6929487,7263168,7468995,8149931,8702968,8616465,8992839
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",532986,577603,617426,667338,735932,809488,892798,992531,1095344,1205584,1332637,1438887,1557687,1628679,1697400,1790242,1906604,2014341,2090293,2221366,2408604,2550896,2686837,2858808,3007420,3138633,3254558,3425946,3611875,3765859,3931876,4104735,4203122,4332477,4475530,4693508,4863430,5054649,5326796,5568439,5651213,5802351,6094247,6145347,6098523,6294832,6619423,6709914,6873472,7232483,7417044,8097898,8645988,8521231,8954328
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",7729,7993,6204,6207,8224,8005,6902,8111,7424,10609,13858,7250,10290,10599,5035,15841,17561,18172,22084,20648,24300,21873,14437,27327,21699,22768,18191,28756,19179,35863,32480,27921,33589,16790,28180,46574,42341,29396,54373,47161,29798,50967,68501,65043,65184,86432,44350,33662,56015,30685,51951,52033,56980,95234,38511
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",174621,174614,176193,178462,177311,177353,177286,176996,178072,178409,179185,178733,177808,178407,177606,176126,175678,175336,175566,175572,174450,174813,175552,175828,176668,177005,177002,176633,176239,175900,175324,174601,174065,173336,173150,172984,172501,172686,172850,172965,173057,173075,173138,172758,172062,171507,170703,169842,169372,168801,167783,166715,166108,164031,163787
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3097,3354,3539,3774,4197,4609,5075,5653,6193,6817,7515,8091,8818,9188,9585,10254,10953,11592,12032,12770,13946,14717,15387,16415,17146,17861,18490,19559,20603,21613,22612,23669,24340,25092,26010,27402,28439,29441,31132,32467,32827,33820,35594,35948,35823,37207,39037,39705,40913,43028,44516,48885,52393,52529,54906
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",458421,486845,509584,549959,612065,660689,699322,789092,880844,975191,1076932,1100437,1149598,1135352,1148477,1242963,1337253,1429455,1510680,1602101,1715183,1803205,1855363,2037942,2166403,2275786,2330322,2451942,2590587,2732700,2886707,2970940,3014651,3079424,3212352,3415642,3513678,3584577,3725016,3745652,3722614,3877274,4041480,4043395,4145398,4277851,4438814,4439089,4600104,4726413,4862324,4838481,5114962,5454380,5654459
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",38227,40240,43333,48517,60209,68058,70323,81198,92197,102616,116263,118703,131984,131614,132031,148540,163281,177213,184628,201726,211710,221359,230986,250733,270490,287968,292738,296253,310236,321620,337012,341971,351101,357304,365501,383373,407158,422511,438194,447093,450324,460743,432291,432268,494747,510121,529688,532692,559700,576307,593145,587488,615886,670363,706190
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",17446,18283,19733,21812,26299,27731,28941,32083,35446,39508,45726,48363,55163,57049,57699,63763,72606,79196,83954,93420,100738,105982,112057,121399,130865,140058,144436,147180,155352,160933,169474,172103,174161,180471,185180,196489,204698,215249,223690,227520,231471,237033,198667,197057,252267,260584,271423,274752,291309,305617,316470,318617,338153,372574,390824
